Algorithm,Seed,Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
bfs_multi,4,0.327021062374115,0.9019971670439304,0,32
bfs_multi,4,0.01823307908605784,0.9928578988131871,50,1632
bfs_multi,4,0.003199710308108479,0.995485384943595,100,3232
bfs_multi,4,0.002162601907039061,0.9960795913112455,150,4832
bfs_multi,4,0.001801577159349108,0.9964994060075834,200,6432
bfs_multi,4,0.0017183878122159512,0.9963734515577758,250,8032
bfs_multi,4,0.0015726500538585243,0.996110553628508,300,9632
bfs_multi,4,0.0013798159412544918,0.9970694409693529,350,11232
bfs_multi,4,0.0016226646642644481,0.9970815692428816,400,12832
bfs_multi,4,0.0010452091091428884,0.9968512746777409,450,14432
bfs_multi,4,0.0013719723686881479,0.9973611420569632,500,16032
bfs_multi,4,0.0014501709240721538,0.9956199691552047,550,17632
bfs_multi,4,0.0009642960410928935,0.9971895515991601,600,19232
bfs_multi,4,0.0010625682849786245,0.9976696040172959,650,20832
bfs_multi,4,0.0013253707367402968,0.996148252220906,700,22432
bfs_multi,4,0.0014219159491040045,0.9956920846781399,750,24032
bfs_multi,4,0.0011581076860966277,0.9967490202200167,800,25632
bfs_multi,4,0.0010667285940871808,0.9964890422229753,850,27232
bfs_multi,4,0.0009943076997660683,0.9968544491959517,900,28832
bfs_multi,4,0.0011316953678397112,0.9971566493937245,950,30432
bfs_multi,4,0.001285290651539981,0.9970219499952794,1000,32032
bfs_multi,4,0.0010872088661926683,0.9967224509026004,1050,33632
bfs_multi,4,0.0010335949235559382,0.9953019356841065,1100,35232
bfs_multi,4,0.0011333433894469636,0.9953475598206029,1150,36832
bfs_multi,4,0.002552901788876625,0.9961830928841919,1200,38432
bfs_multi,4,0.0012912001332006184,0.9961167205057778,1250,40032
bfs_multi,4,0.0012518385478779237,0.996394890619906,1300,41632
bfs_multi,4,0.0015623121564567555,0.9959676015197836,1350,43232
bfs_multi,4,0.0010126933734863996,0.9971924512616417,1400,44832
bfs_multi,4,0.0010144246487834606,0.9971242395672393,1450,46432
bfs_multi,4,0.0011998724198201672,0.9966231995278922,1500,48032
bfs_multi,4,0.0009914597298484296,0.9971757921810125,1550,49632
bfs_multi,4,0.0008206827069079737,0.9963498099763857,1600,51232
bfs_multi,4,0.0010546548103593522,0.9929600773222326,1650,52832
bfs_multi,4,0.0016889480308964267,0.9958830093101669,1700,54432
bfs_multi,4,0.0012012010264152195,0.9971388422155059,1750,56032
bfs_multi,4,0.0010702262715494727,0.9957466652737497,1800,57632
bfs_multi,4,0.0013506398108074791,0.9966846582291345,1850,59232
bfs_multi,4,0.001192302712952369,0.9970305088066836,1900,60832
bfs_multi,4,0.0010067423392320053,0.9967627280253528,1950,62432
bfs_multi,4,0.0009443535232094291,0.9968741399420209,2000,64032
bfs_multi,4,0.0009819640572823118,0.9961823456836575,2050,65632
bfs_multi,4,0.00098585367057467,0.9964846635253921,2100,67232
bfs_multi,4,0.0009149580742268881,0.9969348404570263,2150,68832
bfs_multi,4,0.0013149443260772387,0.9962615101401355,2200,70432
bfs_multi,4,0.0017278661382442806,0.996294060344086,2250,72032
bfs_multi,4,0.0009279138248894014,0.9972806842174218,2300,73632
bfs_multi,4,0.0009136548137666978,0.9960485850800078,2350,75232
bfs_multi,4,0.0008954197706157175,0.9965663974818532,2400,76832
bfs_multi,4,0.0009044587034441065,0.9969365633142151,2450,78432
bfs_multi,4,0.0007366286163596669,0.9955451420071153,2500,80032
bfs_multi,4,0.0009436295215346036,0.9970173950891388,2550,81632
bfs_multi,4,0.0008736349520313525,0.99616601679042,2600,83232
bfs_multi,4,0.0009405280647479231,0.9973424392686026,2650,84832
bfs_multi,4,0.000783369212595062,0.9962419364147472,2700,86432
bfs_multi,4,0.0008292441782464265,0.9958720897858337,2750,88032
bfs_multi,4,0.0007108117910684087,0.99701663636265,2800,89632
bfs_multi,4,0.0011375923513833187,0.9963288536493466,2850,91232
bfs_multi,4,0.0010381007916475937,0.9968137343090238,2900,92832
bfs_multi,4,0.0007627302347100339,0.9968506648809131,2950,94432
bfs_multi,4,0.000867443641045611,0.9971932587940253,3000,96032
bfs_multi,4,0.0009246635626641364,0.9972751860337712,3050,97632
bfs_multi,4,0.0008495637100259046,0.9964720091002179,3100,99232
bfs_multi,4,0.0024164846323355958,0.9955795640474936,3150,100832
bfs_multi,4,0.0013373704487457871,0.9945054985489388,3200,102432
bfs_multi,4,0.001359418627876039,0.9958336044270654,3250,104032
bfs_multi,4,0.000988502516738663,0.9962210262552846,3300,105632
bfs_multi,4,0.0010805149440056994,0.9965167587564532,3350,107232
bfs_multi,4,0.0009542349390630989,0.9966744460935624,3400,108832
bfs_multi,4,0.0009614068797964137,0.9963612334843195,3450,110432
bfs_multi,4,0.0009327474668589275,0.9966661417409441,3500,112032
bfs_multi,4,0.0008133650026547911,0.9961913394550244,3550,113632
bfs_multi,4,0.0008708578822188428,0.9972592458259195,3600,115232
bfs_multi,4,0.0008495498590758644,0.9959805265537885,3650,116832
bfs_multi,4,0.0009274068824743154,0.9969043771478256,3700,118432
bfs_multi,4,0.0008871893784908025,0.996175686119312,3750,120032
bfs_multi,4,0.0011263000256440136,0.9965428423628737,3800,121632
bfs_multi,4,0.0009862002100521749,0.9959809825074296,3850,123232
bfs_multi,4,0.0009267542701672937,0.996011667238065,3900,124832
bfs_multi,4,0.0007774567850719904,0.9966417277292832,3950,126432
bfs_multi,4,0.0008752879442181439,0.9964031575028813,4000,128032
bfs_multi,4,0.0011864899557986065,0.9966592731763302,4050,129632
bfs_multi,4,0.0009195935439493041,0.9968023607388978,4100,131232
bfs_multi,4,0.0007340681096113144,0.9965878819187383,4150,132832
bfs_multi,4,0.001789706333365757,0.9960561844097852,4200,134432
bfs_multi,4,0.0019022000081895384,0.9967528360125251,4250,136032
bfs_multi,4,0.0009475513374798083,0.9955659350303016,4300,137632
bfs_multi,4,0.0009057274405950011,0.9959626423229236,4350,139232
bfs_multi,4,0.0008592280758603011,0.9966899635078914,4400,140832
bfs_multi,4,0.000989859587589308,0.9963765499883224,4450,142432
bfs_multi,4,0.000960891564116082,0.9968616406861481,4500,144032
bfs_multi,4,0.0009923307297049178,0.9968597681364337,4550,145632
bfs_multi,4,0.000972664534147043,0.9955572883867941,4600,147232
bfs_multi,4,0.0007209546622414109,0.996129014493847,4650,148832
bfs_multi,4,0.0009987360295667714,0.9969260990442333,4700,150432
bfs_multi,4,0.0008956178380321944,0.9980748958445396,4750,152032
bfs_multi,4,0.000834444217221062,0.9966565522632799,4800,153632
bfs_multi,4,0.0008227631953741366,0.9976666339955986,4850,155232
bfs_multi,4,0.0010577781087613403,0.9964489354943329,4900,156832
bfs_multi,4,0.0011209553210653667,0.9968427357900183,4950,158432
bfs_multi,4,0.0009094052212822134,0.9971420643760975,5000,160032
bfs_multi,4,0.0007139547693185477,0.9958761569145947,5050,161632
bfs_multi,4,0.0008096346206002636,0.9971757786240771,5100,163232
bfs_multi,4,0.0008402834804655867,0.9959768275720131,5150,164832
bfs_multi,4,0.0007751562925119516,0.9971696082296957,5200,166432
bfs_multi,4,0.0008183048811292792,0.9967351006034504,5250,168032
bfs_multi,4,0.0008724963527038199,0.9961893419677279,5300,169632
bfs_multi,4,0.001030401843419213,0.9966594204152281,5350,171232
bfs_multi,4,0.0008690906321862712,0.9965337300007835,5400,172832
bfs_multi,4,0.0009357988098008718,0.9965962740838239,5450,174432
bfs_multi,4,0.0009706463252823028,0.9964453544545431,5500,176032
bfs_multi,4,0.0009912444814108312,0.9961894747138359,5550,177632
bfs_multi,4,0.0008568973248839029,0.9966238178816663,5600,179232
