Algorithm,Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
bfs_multi,0.30978235602378845,0.9011897478868945,0,32
bfs_multi,0.020277962344698607,0.9944585933800547,50,1632
bfs_multi,0.002838094090984669,0.9947645660854212,100,3232
bfs_multi,0.0019950131431687623,0.995182130333812,150,4832
bfs_multi,0.0013471921309246681,0.9950332915802832,200,6432
bfs_multi,0.0014985797219560482,0.9962390071282707,250,8032
bfs_multi,0.0016673267683654557,0.9958168354896049,300,9632
bfs_multi,0.0016106015860350453,0.996215608048301,350,11232
bfs_multi,0.001198454289988149,0.9961303947728638,400,12832
bfs_multi,0.0012899761654261966,0.9968110814077641,450,14432
bfs_multi,0.0012276215678139123,0.9957078192095065,500,16032
bfs_multi,0.001259378182439832,0.9956820561153935,550,17632
bfs_multi,0.001234306255064439,0.9964933002065044,600,19232
bfs_multi,0.0009499365626834333,0.9970185471924105,650,20832
bfs_multi,0.0009093413851951482,0.9964606428899345,700,22432
bfs_multi,0.0011642690900407614,0.9969560990244086,750,24032
bfs_multi,0.0010050072996818926,0.995055487673902,800,25632
bfs_multi,0.0009798356779083407,0.9970770467936898,850,27232
bfs_multi,0.0011745051645266358,0.9959372775556381,900,28832
bfs_multi,0.0036597633810015397,0.9947469099155277,950,30432
bfs_multi,0.0032108509653335205,0.9945255135962707,1000,32032
bfs_multi,0.001957213107962161,0.9961696220217497,1050,33632
bfs_multi,0.0010943886735913112,0.9957397857140879,1100,35232
bfs_multi,0.000937327837018529,0.9958915599747505,1150,36832
bfs_multi,0.0011749652609069016,0.996302901624657,1200,38432
bfs_multi,0.0012955272505297444,0.9958172733310338,1250,40032
bfs_multi,0.0015845256288594101,0.9961664289725294,1300,41632
bfs_multi,0.0010335287143061578,0.9968496395387025,1350,43232
bfs_multi,0.0011254279831337045,0.994939737083187,1400,44832
bfs_multi,0.0011079625566071628,0.9962740381259401,1450,46432
bfs_multi,0.0009659815478244127,0.9951549916964721,1500,48032
bfs_multi,0.0010344595718197525,0.9971305933435721,1550,49632
bfs_multi,0.0010668036849529018,0.9962311807854197,1600,51232
bfs_multi,0.0010095984122881418,0.9957254382486673,1650,52832
bfs_multi,0.0008653610562123504,0.9958767311426777,1700,54432
bfs_multi,0.0008936151744637755,0.9948377037297883,1750,56032
bfs_multi,0.0008772179197308105,0.996621503382376,1800,57632
