Algorithm,Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
bfs_multi,0.3078945279121399,0.9012389593986881,0,32
bfs_multi,0.020012411444913596,0.9941311835971886,50,1632
bfs_multi,0.0023862297838786618,0.9952559121390885,100,3232
bfs_multi,0.001988932576496154,0.9951656617887543,150,4832
bfs_multi,0.0013358767828322016,0.995067711319418,200,6432
bfs_multi,0.0014870591563521884,0.9963491192915243,250,8032
bfs_multi,0.0016313863887626211,0.9958274471219801,300,9632
bfs_multi,0.0013746953246300108,0.9963518758559202,350,11232
bfs_multi,0.001042049404568388,0.9960182166616516,400,12832
bfs_multi,0.0012145268873064196,0.9967225287576464,450,14432
bfs_multi,0.0012172673424356616,0.9956145886276984,500,16032
bfs_multi,0.0013106439844705164,0.9955340789355561,550,17632
bfs_multi,0.0011144467633857858,0.9965603309510852,600,19232
bfs_multi,0.0009634074417044758,0.9970171740232748,650,20832
bfs_multi,0.0008674234389764024,0.9964534875860707,700,22432
bfs_multi,0.0010477926362545986,0.9970697380929099,750,24032
bfs_multi,0.0009510683719054214,0.995082671376485,800,25632
bfs_multi,0.0008893929546684376,0.9970336370536743,850,27232
bfs_multi,0.0010091466904236768,0.9959273531971,900,28832
bfs_multi,0.001037106074145413,0.9954862969695395,950,30432
bfs_multi,0.0009338533476875454,0.9962865791786242,1000,32032
bfs_multi,0.0010155665601450892,0.9962186594954497,1050,33632
bfs_multi,0.0008976894020634063,0.9958740056390238,1100,35232
bfs_multi,0.0008545974975277204,0.9958658949001603,1150,36832
bfs_multi,0.0012451566155004912,0.9963973387119122,1200,38432
bfs_multi,0.0010714384702532698,0.9958440161411501,1250,40032
bfs_multi,0.0008636779296284658,0.9962267731790571,1300,41632
bfs_multi,0.0008384451708843699,0.9968943550560734,1350,43232
bfs_multi,0.0007651110917208826,0.9951340730123498,1400,44832
bfs_multi,0.000808238627278115,0.9963296116078457,1450,46432
bfs_multi,0.0007928318786980526,0.9953018491901289,1500,48032
bfs_multi,0.0007965851067274343,0.9970868635443813,1550,49632
bfs_multi,0.0008638891624195822,0.9963005673636489,1600,51232
bfs_multi,0.001715173394077283,0.9955069894437811,1650,52832
