Algorithm,Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
bfs_multi,0.3097824156284332,0.9011897470673261,0,32
bfs_multi,0.020277861305512488,0.9940326953885509,50,1632
bfs_multi,0.0031349776485876646,0.9947031310077079,100,3232
bfs_multi,0.0020041876728646457,0.9951818894491259,150,4832
bfs_multi,0.0013453314700745977,0.9949956491596459,200,6432
bfs_multi,0.0014910213719122112,0.9962683320704749,250,8032
bfs_multi,0.0018735658380319364,0.9953920248006685,300,9632
bfs_multi,0.0017400557597648002,0.9962746112928434,350,11232
bfs_multi,0.00109068374033086,0.9961297108493561,400,12832
bfs_multi,0.0012970136248623022,0.9968755549739482,450,14432
bfs_multi,0.0012398077597026713,0.9957334757708738,500,16032
bfs_multi,0.0012763112329412251,0.9956667008496614,550,17632
bfs_multi,0.001245202690915903,0.9965961813665276,600,19232
bfs_multi,0.0009360657559591345,0.9970559584677685,650,20832
bfs_multi,0.000898481393342081,0.9964530260734996,700,22432
bfs_multi,0.001017554060308612,0.9970705806415375,750,24032
bfs_multi,0.0009154085404406942,0.9950692186220853,800,25632
bfs_multi,0.0009703282730606588,0.9969939630982279,850,27232
bfs_multi,0.0012364762521610828,0.995884664437731,900,28832
bfs_multi,0.001019547251125914,0.9954659426046013,950,30432
bfs_multi,0.0007966209490405163,0.9964196477252113,1000,32032
bfs_multi,0.0010434182247627177,0.9960016107474654,1050,33632
bfs_multi,0.0009299368852407496,0.9958143603714193,1100,35232
bfs_multi,0.0008429815533600049,0.9959578448470348,1150,36832
bfs_multi,0.0009892171651154059,0.9964211250269598,1200,38432
bfs_multi,0.0009192432671648021,0.9959120981734222,1250,40032
bfs_multi,0.0008229669887668933,0.9963749263547095,1300,41632
bfs_multi,0.0008966094254446944,0.9968029687237641,1350,43232
bfs_multi,0.0009428280837892089,0.9950868466764466,1400,44832
bfs_multi,0.0010441682491841675,0.9964077200021632,1450,46432
bfs_multi,0.0008742681045623613,0.995283112862452,1500,48032
bfs_multi,0.0009835748603654792,0.9970011431063013,1550,49632
bfs_multi,0.0011663322806998622,0.9962400037499544,1600,51232
bfs_multi,0.0009247406767190114,0.9957119535979326,1650,52832
bfs_multi,0.0007824189168240992,0.9959235539246649,1700,54432
bfs_multi,0.0008831317203657818,0.9948854033652997,1750,56032
bfs_multi,0.000899671057222804,0.9966672438831166,1800,57632
bfs_multi,0.0008742164617797243,0.9961795084047788,1850,59232
bfs_multi,0.002135235460300464,0.9953165908196662,1900,60832
bfs_multi,0.00121179002973804,0.9955341272020475,1950,62432
bfs_multi,0.0008619966397236567,0.995946221392878,2000,64032
bfs_multi,0.0008606333540228661,0.9958286787971447,2050,65632
bfs_multi,0.0007517382786136295,0.996887465998755,2100,67232
bfs_multi,0.000852547582987313,0.9961128136225066,2150,68832
bfs_multi,0.0010030621078180957,0.9954862374565696,2200,70432
bfs_multi,0.000883916217096612,0.9961205843782126,2250,72032
bfs_multi,0.0009653375201742164,0.9958823220060423,2300,73632
bfs_multi,0.0008097290203909325,0.9961017130024464,2350,75232
