Algorithm,Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
dfs_multi,0.30414873361587524,0.9273772623461127,0,32
dfs_multi,0.05761153552681208,0.9601595947940845,50,1632
dfs_multi,0.03930030047893524,0.9678070999707412,100,3232
dfs_multi,0.031185858771204947,0.964999273079732,150,4832
dfs_multi,0.034693698845803735,0.9677845621791643,200,6432
dfs_multi,0.02986131116747856,0.9673164877935456,250,8032
dfs_multi,0.028504065982997418,0.9678072197719852,300,9632
dfs_multi,0.032549714632332326,0.9654757441955211,350,11232
dfs_multi,0.031094243563711644,0.9679184033823711,400,12832
dfs_multi,0.024126841258257627,0.9672577078961344,450,14432
dfs_multi,0.026734224781394006,0.9699586340481672,500,16032
dfs_multi,0.022646115757524968,0.9685997869812151,550,17632
dfs_multi,0.022311231885105372,0.9688560365445437,600,19232
dfs_multi,0.02442213736474514,0.9689391188050269,650,20832
dfs_multi,0.024028873797506095,0.9697050910737048,700,22432
dfs_multi,0.022357772663235666,0.9697589629517329,750,24032
dfs_multi,0.020970853883773087,0.9691370837931959,800,25632
dfs_multi,0.022145192064344885,0.9707817501137461,850,27232
dfs_multi,0.019747360683977602,0.9710604344532842,900,28832
dfs_multi,0.01986857382580638,0.9714687967455974,950,30432
dfs_multi,0.021697003860026598,0.969807778538329,1000,32032
dfs_multi,0.02094273330643773,0.9698773985050662,1050,33632
dfs_multi,0.022227148804813624,0.9705452336914067,1100,35232
dfs_multi,0.022631023172289134,0.9673823363730164,1150,36832
dfs_multi,0.020806207079440354,0.9717585686849519,1200,38432
dfs_multi,0.019590598549693822,0.9718678719346283,1250,40032
dfs_multi,0.01759610679000616,0.9716925624342894,1300,41632
dfs_multi,0.01873570965602994,0.9716485357491507,1350,43232
dfs_multi,0.017900756914168595,0.9710856895663472,1400,44832
dfs_multi,0.01903521325439215,0.9715831421637472,1450,46432
dfs_multi,0.017895226813852787,0.9704554348488783,1500,48032
dfs_multi,0.019006077609956266,0.9703243383404854,1550,49632
dfs_multi,0.019821159187704326,0.9730419599656421,1600,51232
dfs_multi,0.01705106081441045,0.970989433288887,1650,52832
dfs_multi,0.018560171034187077,0.9718266827421435,1700,54432
dfs_multi,0.01679129300639033,0.9719252057077893,1750,56032
dfs_multi,0.01680735282599926,0.9708294043633856,1800,57632
dfs_multi,0.017508215568959713,0.971906644542549,1850,59232
dfs_multi,0.019948639906942844,0.9689484216322357,1900,60832
dfs_multi,0.019620638582855465,0.9717397560587497,1950,62432
dfs_multi,0.016687755435705186,0.9726609203383416,2000,64032
dfs_multi,0.022203637659549712,0.9703195059339285,2050,65632
dfs_multi,0.02016415452584624,0.9694261653417227,2100,67232
dfs_multi,0.017643727231770753,0.9734873345675336,2150,68832
dfs_multi,0.016790591664612293,0.9729947205470333,2200,70432
dfs_multi,0.016656743250787257,0.9723844294225445,2250,72032
dfs_multi,0.01680346442386508,0.9722299295983852,2300,73632
dfs_multi,0.015874387044459582,0.972723313759444,2350,75232
dfs_multi,0.015895848320797087,0.9716635772575576,2400,76832
dfs_multi,0.01887249667197466,0.9723095272193767,2450,78432
dfs_multi,0.027038130592554808,0.9683020527407697,2500,80032
dfs_multi,0.02133962718769908,0.9704597489257565,2550,81632
dfs_multi,0.01939038896933198,0.9702812223501849,2600,83232
dfs_multi,0.019576470106840133,0.9716135075568137,2650,84832
dfs_multi,0.01933603873476386,0.9721535571298769,2700,86432
dfs_multi,0.01884968588128686,0.9693775877706193,2750,88032
dfs_multi,0.01731176596134901,0.972034383477562,2800,89632
dfs_multi,0.016683375630527734,0.9715109249211533,2850,91232
dfs_multi,0.01661573678255081,0.9719480647585883,2900,92832
dfs_multi,0.018825115766376257,0.9691232322870857,2950,94432
dfs_multi,0.016855468302965165,0.9735643052542139,3000,96032
dfs_multi,0.015780837461352348,0.9719487729731253,3050,97632
dfs_multi,0.015327700302004815,0.9741486372741623,3100,99232
dfs_multi,0.015905489809811116,0.9728317786000416,3150,100832
dfs_multi,0.015115459319204091,0.9717474876067129,3200,102432
dfs_multi,0.015130068585276603,0.9719521320351535,3250,104032
dfs_multi,0.01568089419975877,0.9713986191638949,3300,105632
dfs_multi,0.013703771773725748,0.9724067618335368,3350,107232
dfs_multi,0.015727059487253427,0.9711170652435029,3400,108832
dfs_multi,0.022543782219290733,0.9686030636762457,3450,110432
dfs_multi,0.023029863964766265,0.9733203495639992,3500,112032
dfs_multi,0.016130479350686074,0.9712223599520942,3550,113632
dfs_multi,0.015732461996376516,0.971444170648113,3600,115232
dfs_multi,0.01510702040977776,0.9726689015511725,3650,116832
dfs_multi,0.017236057315021754,0.9700245414267522,3700,118432
dfs_multi,0.01597388573922217,0.970877558541698,3750,120032
dfs_multi,0.01595240630209446,0.9735717366637042,3800,121632
dfs_multi,0.015709449211135505,0.9711745404728904,3850,123232
dfs_multi,0.017210087701678277,0.9686964372389187,3900,124832
dfs_multi,0.018006185200065375,0.9715632156734566,3950,126432
dfs_multi,0.016233048737049102,0.9710871724223609,4000,128032
dfs_multi,0.02008750071749091,0.9721996548697411,4050,129632
dfs_multi,0.016659879591315985,0.971385706177984,4100,131232
dfs_multi,0.01595639806240797,0.9710403155274957,4150,132832
dfs_multi,0.015698201106861234,0.9713776273620249,4200,134432
dfs_multi,0.01679114074446261,0.9725213516072473,4250,136032
dfs_multi,0.01880918165668845,0.9716619061929324,4300,137632
dfs_multi,0.015308137834072113,0.9710168252798268,4350,139232
dfs_multi,0.014149668402969837,0.9726124488618665,4400,140832
dfs_multi,0.013478538300842047,0.9711537492437474,4450,142432
dfs_multi,0.015352447871118785,0.9700750219378074,4500,144032
dfs_multi,0.01885397149249911,0.9697947280268822,4550,145632
dfs_multi,0.015934181809425355,0.9722654432805258,4600,147232
dfs_multi,0.017772810999304056,0.970279868340345,4650,148832
dfs_multi,0.01517983317375183,0.9713732121807621,4700,150432
dfs_multi,0.01531020862981677,0.972343325779584,4750,152032
dfs_multi,0.015228817900642753,0.9731731213589346,4800,153632
dfs_multi,0.013572807656601071,0.9724827076121154,4850,155232
dfs_multi,0.013628694778308272,0.9718847604856801,4900,156832
dfs_multi,0.013706683469936252,0.9734981865164477,4950,158432
dfs_multi,0.013710769806057215,0.9719912493838556,5000,160032
dfs_multi,0.01494961952790618,0.9715372405642511,5050,161632
dfs_multi,0.013481986550614238,0.9717810089042084,5100,163232
dfs_multi,0.01287447037640959,0.9726990300212723,5150,164832
dfs_multi,0.01287045681849122,0.9709482574833611,5200,166432
dfs_multi,0.01294639858417213,0.9732646032042628,5250,168032
dfs_multi,0.012578357895836233,0.9717634150275021,5300,169632
dfs_multi,0.014238032335415483,0.9715426893916036,5350,171232
dfs_multi,0.013694440238177777,0.9720704773857851,5400,172832
