Algorithm,Seed,Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
dfs_multi,4,0.3053383529186249,0.9281865000067058,0,32
dfs_multi,4,0.05637241508811712,0.9607573771510015,50,1632
dfs_multi,4,0.03822104554623365,0.9666452547408311,100,3232
dfs_multi,4,0.0351764116063714,0.9649449228307581,150,4832
dfs_multi,4,0.026457178983837367,0.9675835472886778,200,6432
dfs_multi,4,0.0282386564463377,0.9669188117970048,250,8032
dfs_multi,4,0.02843934588134289,0.9684287555711323,300,9632
dfs_multi,4,0.02467957766726613,0.9722030183555583,350,11232
dfs_multi,4,0.02420821227133274,0.9706558736611628,400,12832
dfs_multi,4,0.027915811091661455,0.9685986755033862,450,14432
dfs_multi,4,0.023274473510682583,0.9691694595147934,500,16032
dfs_multi,4,0.019920307379215955,0.9698557869675541,550,17632
dfs_multi,4,0.02148380206897855,0.9701049731815308,600,19232
dfs_multi,4,0.02576059816405177,0.9673740485761244,650,20832
dfs_multi,4,0.0264203773252666,0.9696628366697785,700,22432
dfs_multi,4,0.02183836990967393,0.9689584934532773,750,24032
dfs_multi,4,0.019819770008325577,0.9708351480913988,800,25632
dfs_multi,4,0.019976031389087438,0.9720634256645605,850,27232
dfs_multi,4,0.027631258238106967,0.9709690979182187,900,28832
dfs_multi,4,0.02191316707059741,0.9680260669803646,950,30432
dfs_multi,4,0.02062463104724884,0.9712894231518143,1000,32032
dfs_multi,4,0.025919970031827687,0.9702635773539088,1050,33632
dfs_multi,4,0.021394185945391653,0.9717996244539442,1100,35232
dfs_multi,4,0.02037719588726759,0.9703306007012785,1150,36832
dfs_multi,4,0.02583249017596245,0.9673185782480522,1200,38432
dfs_multi,4,0.02196762813255191,0.9668787984564671,1250,40032
dfs_multi,4,0.01952171217650175,0.9704256301529861,1300,41632
dfs_multi,4,0.01957776078954339,0.970875441986739,1350,43232
dfs_multi,4,0.025553772188723088,0.9695939919414959,1400,44832
dfs_multi,4,0.022243288569152354,0.9701615140838238,1450,46432
dfs_multi,4,0.020139362011104823,0.9687993547074464,1500,48032
dfs_multi,4,0.021995749454945326,0.9690913317425535,1550,49632
dfs_multi,4,0.02109981909394264,0.9700212970956248,1600,51232
dfs_multi,4,0.0194662856310606,0.9710808775047459,1650,52832
dfs_multi,4,0.021494442764669656,0.9666125167814876,1700,54432
dfs_multi,4,0.023724488709121944,0.9723070969154198,1750,56032
dfs_multi,4,0.028314709961414337,0.9680134441197523,1800,57632
dfs_multi,4,0.021157131288200615,0.969241980400536,1850,59232
dfs_multi,4,0.018519035540521145,0.9717140351640101,1900,60832
dfs_multi,4,0.017117573879659176,0.9711463536764311,1950,62432
dfs_multi,4,0.020101856254041196,0.9717244800229233,2000,64032
dfs_multi,4,0.01817032655701041,0.9712700824736042,2050,65632
dfs_multi,4,0.01933886194601655,0.9714606876973736,2100,67232
dfs_multi,4,0.018617081195116042,0.972462892891915,2150,68832
dfs_multi,4,0.018429223075509073,0.9732809667193534,2200,70432
dfs_multi,4,0.018532171472907068,0.9721420915459464,2250,72032
dfs_multi,4,0.01771214498206973,0.9735435739709024,2300,73632
dfs_multi,4,0.018387087397277357,0.9697300140370104,2350,75232
dfs_multi,4,0.017143017053604125,0.9705995363125968,2400,76832
dfs_multi,4,0.01790060993283987,0.9724727730384046,2450,78432
dfs_multi,4,0.017233650982379913,0.9724358951269862,2500,80032
dfs_multi,4,0.017518450561910866,0.972017681261057,2550,81632
dfs_multi,4,0.018231107201427222,0.974760909669425,2600,83232
dfs_multi,4,0.030439973212778568,0.9628140885980193,2650,84832
dfs_multi,4,0.03724831230938434,0.9655396871774584,2700,86432
dfs_multi,4,0.031328279189765454,0.9659646228998726,2750,88032
dfs_multi,4,0.028822594992816447,0.9661812379749593,2800,89632
dfs_multi,4,0.027969558872282505,0.966941635508016,2850,91232
dfs_multi,4,0.028711532317101954,0.9677222938787411,2900,92832
dfs_multi,4,0.027077442947775126,0.968610208208328,2950,94432
dfs_multi,4,0.025180188845843075,0.9680387987306335,3000,96032
dfs_multi,4,0.024637209363281728,0.9678165625080515,3050,97632
dfs_multi,4,0.02278732182458043,0.9700492195821928,3100,99232
dfs_multi,4,0.021925300620496274,0.9691179138489396,3150,100832
dfs_multi,4,0.02282957598567009,0.9678297467590573,3200,102432
dfs_multi,4,0.02346992487087846,0.970035468889225,3250,104032
dfs_multi,4,0.022218062803149224,0.9702087851077785,3300,105632
dfs_multi,4,0.020168671049177647,0.9712619538114448,3350,107232
dfs_multi,4,0.02092629874125123,0.9696704004323428,3400,108832
dfs_multi,4,0.019682324454188348,0.9706937086934773,3450,110432
dfs_multi,4,0.019115558471530677,0.9698308843632752,3500,112032
dfs_multi,4,0.01914645656943321,0.9686681196974365,3550,113632
dfs_multi,4,0.018637732360512017,0.9708980801788405,3600,115232
dfs_multi,4,0.01789442092180252,0.9707807210155632,3650,116832
dfs_multi,4,0.018733097743242978,0.9717973236537076,3700,118432
dfs_multi,4,0.017427828703075646,0.970591798949441,3750,120032
dfs_multi,4,0.018791881632059814,0.9716692835992518,3800,121632
dfs_multi,4,0.026292697079479694,0.9688927196047112,3850,123232
dfs_multi,4,0.022652684450149535,0.970284704511531,3900,124832
dfs_multi,4,0.020634901765733956,0.9697948631733286,3950,126432
dfs_multi,4,0.020833311416208745,0.9705225864877152,4000,128032
dfs_multi,4,0.01899009894579649,0.969140095800762,4050,129632
dfs_multi,4,0.01809646550565958,0.9730073483356954,4100,131232
dfs_multi,4,0.01751391924917698,0.9705255721463273,4150,132832
dfs_multi,4,0.017901084534823895,0.9680580814361899,4200,134432
dfs_multi,4,0.016806302350014447,0.9700640049117908,4250,136032
dfs_multi,4,0.01939364252611995,0.972052863051805,4300,137632
dfs_multi,4,0.020446836333721876,0.969377226370469,4350,139232
dfs_multi,4,0.02115065770223737,0.9700448183374053,4400,140832
dfs_multi,4,0.019649047888815403,0.9697255860481628,4450,142432
dfs_multi,4,0.0189852443523705,0.9692611482767863,4500,144032
dfs_multi,4,0.018027508966624736,0.9689979245970015,4550,145632
dfs_multi,4,0.018162276186048983,0.9698662033568374,4600,147232
dfs_multi,4,0.017130217496305705,0.9682460077045076,4650,148832
dfs_multi,4,0.016272726096212865,0.9730944577164076,4700,150432
dfs_multi,4,0.021324946396052837,0.9708957326286533,4750,152032
dfs_multi,4,0.017509630247950554,0.9715003861736142,4800,153632
dfs_multi,4,0.020502989199012518,0.9687697610774191,4850,155232
dfs_multi,4,0.018519066367298366,0.9698303307994405,4900,156832
dfs_multi,4,0.024229031521826982,0.9684949694054623,4950,158432
dfs_multi,4,0.023892638981342317,0.9700747542531518,5000,160032
dfs_multi,4,0.02498745149001479,0.9652605429896765,5050,161632
dfs_multi,4,0.0255467888712883,0.9691643115129915,5100,163232
dfs_multi,4,0.023226934503763914,0.9690641334832927,5150,164832
dfs_multi,4,0.022694346606731416,0.9697343217751699,5200,166432
dfs_multi,4,0.023069771379232405,0.9702146752616454,5250,168032
dfs_multi,4,0.02921718817204237,0.9660343875124742,5300,169632
dfs_multi,4,0.02496380314230919,0.9680999759935581,5350,171232
dfs_multi,4,0.023010664358735083,0.9693160236055971,5400,172832
dfs_multi,4,0.02296574279665947,0.9680986567927291,5450,174432
dfs_multi,4,0.02387578822672367,0.9676716719970364,5500,176032
dfs_multi,4,0.02345285573974252,0.9689415525860903,5550,177632
dfs_multi,4,0.022747580073773862,0.9689554428634432,5600,179232
dfs_multi,4,0.022448262944817544,0.9701685546975403,5650,180832
dfs_multi,4,0.022376113031059505,0.9688072454687262,5700,182432
dfs_multi,4,0.020934685356914996,0.9704068487214806,5750,184032
dfs_multi,4,0.02231620645150542,0.9693051653246085,5800,185632
dfs_multi,4,0.02149952866137028,0.9707353163104121,5850,187232
dfs_multi,4,0.022308578174561264,0.9691295498597947,5900,188832
dfs_multi,4,0.022545869816094636,0.9697490550425882,5950,190432
dfs_multi,4,0.020451931059360506,0.9694178566245524,6000,192032
