Algorithm,Seed,Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
bfs_multi,1,0.3875846266746521,0.8942475653152769,0,32
bfs_multi,1,0.020448510278947653,0.9917869543557315,50,1632
bfs_multi,1,0.0027182965981774033,0.9958858846546382,100,3232
bfs_multi,1,0.002283927289536223,0.9964166114851553,150,4832
bfs_multi,1,0.0018679106869967654,0.9958711155366051,200,6432
bfs_multi,1,0.0015714972832938656,0.9970412800532386,250,8032
bfs_multi,1,0.0014669847968616524,0.9965628817292311,300,9632
bfs_multi,1,0.0016079116447508567,0.9967040786536271,350,11232
bfs_multi,1,0.0013070463538679177,0.9963562489349334,400,12832
bfs_multi,1,0.0012588808525470084,0.9968753529147875,450,14432
bfs_multi,1,0.0016806110343895852,0.9953948015511584,500,16032
bfs_multi,1,0.0010054236225187196,0.9966174569698402,550,17632
bfs_multi,1,0.0019417722121579572,0.9963680640038466,600,19232
bfs_multi,1,0.0011026612330169883,0.9960598364722337,650,20832
bfs_multi,1,0.0012380418886095868,0.9966425963000973,700,22432
bfs_multi,1,0.001124123734243767,0.9965574881751538,750,24032
bfs_multi,1,0.0010041532415198161,0.996676497225014,800,25632
bfs_multi,1,0.0013470493179556797,0.9962332088202759,850,27232
bfs_multi,1,0.0010178403298777994,0.9959291697052732,900,28832
bfs_multi,1,0.0014277563207724597,0.9959398728774,950,30432
bfs_multi,1,0.0011469522497759498,0.996526458158999,1000,32032
bfs_multi,1,0.0009054617126093944,0.9967560578198955,1050,33632
bfs_multi,1,0.0012255898206967686,0.996770648072955,1100,35232
bfs_multi,1,0.0009201539062996745,0.9958993380092809,1150,36832
bfs_multi,1,0.0009383658030128572,0.9965342269325689,1200,38432
bfs_multi,1,0.0015875918029087189,0.997381514408102,1250,40032
bfs_multi,1,0.0014900766122991627,0.9971679956338503,1300,41632
bfs_multi,1,0.001331018404016504,0.9967104396447061,1350,43232
bfs_multi,1,0.0010022427354738283,0.9969336230580377,1400,44832
bfs_multi,1,0.001077295265495195,0.9964435347756222,1450,46432
bfs_multi,1,0.0009998184214782668,0.9972190650423904,1500,48032
bfs_multi,1,0.0010236301216332321,0.9962726583591734,1550,49632
bfs_multi,1,0.0009360669074010275,0.9962270146400617,1600,51232
bfs_multi,1,0.0008754478226910578,0.9968699707018718,1650,52832
bfs_multi,1,0.0008035954519596089,0.9967181099545346,1700,54432
bfs_multi,1,0.0008234343024861346,0.9972069081865101,1750,56032
bfs_multi,1,0.0009616321903922653,0.9966641137283422,1800,57632
bfs_multi,1,0.0008608832917684594,0.9964552609717008,1850,59232
bfs_multi,1,0.0008410989440153571,0.9966554737658051,1900,60832
bfs_multi,1,0.0013124508185137528,0.9966987149241977,1950,62432
bfs_multi,1,0.0012176186603755923,0.9963633001084999,2000,64032
bfs_multi,1,0.0010626554893678987,0.9964104415215129,2050,65632
bfs_multi,1,0.0009900925997732202,0.9970964626202368,2100,67232
bfs_multi,1,0.0010129292169585825,0.9967291813091366,2150,68832
bfs_multi,1,0.0009397452553093899,0.9972952987841254,2200,70432
bfs_multi,1,0.0009139649317876319,0.9970431219508767,2250,72032
bfs_multi,1,0.0010768560820554286,0.9968381685946637,2300,73632
bfs_multi,1,0.000773706969266641,0.9962659480205424,2350,75232
bfs_multi,1,0.0008597616312454192,0.9974680989971261,2400,76832
bfs_multi,1,0.000835287735858401,0.9965327849530037,2450,78432
bfs_multi,1,0.0010057312074241054,0.9962450905852194,2500,80032
bfs_multi,1,0.0008076570267166971,0.9963763373597493,2550,81632
bfs_multi,1,0.0007979530463991935,0.9970627223934218,2600,83232
bfs_multi,1,0.0008368008672914584,0.9964243814275762,2650,84832
bfs_multi,1,0.0009476709232876602,0.9963008745530939,2700,86432
bfs_multi,1,0.0007985195442051918,0.9965889789244226,2750,88032
bfs_multi,1,0.0009972988260778949,0.9963895452542396,2800,89632
bfs_multi,1,0.0011033925079755136,0.9967071805479872,2850,91232
bfs_multi,1,0.0009978462622291318,0.9970560703261474,2900,92832
bfs_multi,1,0.0007578978847914186,0.9959713129193691,2950,94432
bfs_multi,1,0.0007889829392388492,0.9965373890020133,3000,96032
bfs_multi,1,0.0009486876570008462,0.9961129316194683,3050,97632
bfs_multi,1,0.0011084259560880127,0.9965279726015707,3100,99232
bfs_multi,1,0.000930024625038186,0.9957692599657513,3150,100832
bfs_multi,1,0.0009765307595364448,0.997146422651925,3200,102432
bfs_multi,1,0.0011521470521802257,0.9963101318326795,3250,104032
bfs_multi,1,0.000901873143066041,0.9969582273565999,3300,105632
bfs_multi,1,0.0007656490572250618,0.9969456314400666,3350,107232
bfs_multi,1,0.0008169542726764689,0.997442948588892,3400,108832
bfs_multi,1,0.0008766328925673861,0.9970161280707487,3450,110432
bfs_multi,1,0.001026062618184369,0.9971135437920617,3500,112032
bfs_multi,1,0.0011358025139270467,0.9971430461775799,3550,113632
bfs_multi,1,0.0010838228870125022,0.9959926617218303,3600,115232
bfs_multi,1,0.0008998518820772006,0.9966575967178928,3650,116832
bfs_multi,1,0.0008032590430036634,0.9967332498432542,3700,118432
bfs_multi,1,0.0007979989259911236,0.9965639643164437,3750,120032
bfs_multi,1,0.0008810323157376843,0.9970166536426288,3800,121632
bfs_multi,1,0.0010161767303361558,0.996415367609994,3850,123232
bfs_multi,1,0.0011861889797000914,0.9967371624467978,3900,124832
bfs_multi,1,0.0008583497690597141,0.9976566323714307,3950,126432
bfs_multi,1,0.0007612640455079145,0.9950077470700699,4000,128032
bfs_multi,1,0.0009016983540914226,0.9965975138441523,4050,129632
bfs_multi,1,0.000924493995200919,0.9971301567738111,4100,131232
bfs_multi,1,0.0008604524850670714,0.9965782726606252,4150,132832
bfs_multi,1,0.0008578627376118675,0.9965102485398788,4200,134432
bfs_multi,1,0.0007930994076741627,0.9970089515535046,4250,136032
bfs_multi,1,0.0008498171406063193,0.9968634661648729,4300,137632
bfs_multi,1,0.000991086996764352,0.9968370817106529,4350,139232
bfs_multi,1,0.0007720556615939245,0.9967493348553395,4400,140832
bfs_multi,1,0.0009252870292220905,0.9964315185626049,4450,142432
bfs_multi,1,0.0008979201710462803,0.9968886329141888,4500,144032
bfs_multi,1,0.0009352848673682957,0.9973991293273737,4550,145632
bfs_multi,1,0.0012430887269874802,0.9972355677365694,4600,147232
bfs_multi,1,0.0010389217067361756,0.9971115328452774,4650,148832
bfs_multi,1,0.0008752628574620758,0.9965748038489222,4700,150432
bfs_multi,1,0.0008774955855062671,0.9973315077733085,4750,152032
bfs_multi,1,0.0008397000120748999,0.9963534300828403,4800,153632
