,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Accuracy,Random_True_Accuracy,Upwards_Model_Accuracy,Upwards_True_Accuracy,altUpwards_Model_Accuracy,altUpwards_True_Accuracy,mean_uniqueness_model,mean_valids_model,mean_valids_uniques_model,mean_uniqueness_true,mean_valids_true,mean_valids_uniques_true,altmean_uniqueness_model,altmean_valids_model,altmean_valids_uniques_model,altmean_uniqueness_true,altmean_valids_true,altmean_valids_uniques_true
0,0.59375,0.71875,0.0,0.0,0.125,0.4375,0.53125,0.75,0.425,0.175,0.19531249999999997,0.7125,0.375,0.32968749999999997,0.6437499999999999,0.8125,0.7796875,0.6000000000000001,0.825,0.828125
0,0.71875,0.75,0.0,0.0,0.1875,0.28125,0.625,0.6875,0.46874999999999994,0.21875000000000003,0.20833333333333331,0.71875,0.33125000000000004,0.2885416666666667,0.6312500000000001,0.80625,0.771875,0.5875,0.7625000000000001,0.765625
0,0.625,0.71875,0.0,0.0,0.21875,0.375,0.46875,0.625,0.44999999999999996,0.20625,0.20572916666666666,0.69375,0.39375,0.3140625,0.65,0.7125,0.6869791666666667,0.6000000000000001,0.8,0.8005208333333333
0,0.4375,0.71875,0.0,0.0,0.125,0.25,0.4375,0.71875,0.43125,0.1375,0.16249999999999998,0.7375,0.36875,0.33958333333333335,0.70625,0.7625,0.7369791666666667,0.6000000000000001,0.84375,0.8526041666666666
0,0.65625,0.65625,0.0,0.03125,0.15625,0.3125,0.4375,0.625,0.4875,0.19375,0.19374999999999998,0.7750000000000001,0.31875,0.2984375,0.6499999999999999,0.7375,0.7281249999999999,0.6,0.7625000000000001,0.7630208333333333
