0,1,2,3
Train KlDiv,Mean 1-abs(error),Num Steps,Examples Seen
0.30978236,0.9011897478868945,0,32
0.020277962,0.9944585933800547,50,1632
0.0028380943,0.9947645660854212,100,3232
0.001995013,0.995182130333812,150,4832
0.0013471922,0.9950332915802832,200,6432
0.0014985796,0.9962390071282707,250,8032
0.0016673268,0.9958168354896049,300,9632
0.0016106016,0.996215608048301,350,11232
0.0011984542,0.9961303947728638,400,12832
0.0012899763,0.9968110814077641,450,14432
0.0012276216,0.9957078192095065,500,16032
0.0012593784,0.9956820561153935,550,17632
0.0012343064,0.9964933002065044,600,19232
0.00094993657,0.9970185471924105,650,20832
0.0009093413,0.9964606428899345,700,22432
0.0011642692,0.9969560990244086,750,24032
0.0010050073,0.995055487673902,800,25632
0.0009798356,0.9970770467936898,850,27232
0.0011745052,0.9959372775556381,900,28832
0.0036597634,0.9947469099155277,950,30432
0.0032108508,0.9945255135962707,1000,32032
0.0019572133,0.9961696220217497,1050,33632
0.0010943888,0.9957397857140879,1100,35232
0.0009373278,0.9958915599747505,1150,36832
0.0011749652,0.996302901624657,1200,38432
0.0012955272,0.9958172733310338,1250,40032
0.0015845256,0.9961664289725294,1300,41632
0.0010335287,0.9968496395387025,1350,43232
0.0011254279,0.994939737083187,1400,44832
0.0011079626,0.9962740381259401,1450,46432
0.00096598157,0.9951549916964721,1500,48032
0.0010344596,0.9971305933435721,1550,49632
0.0010668037,0.9962311807854197,1600,51232
0.0010095985,0.9957254382486673,1650,52832
0.0008653611,0.9958767311426777,1700,54432
0.0008936152,0.9948377037297883,1750,56032
0.000877218,0.996621503382376,1800,57632
0.00090633385,0.9961328069195364,1850,59232
0.0011885843,0.9953152665617014,1900,60832
0.0010131805,0.9959368481366269,1950,62432
0.0007685361,0.9961043214192444,2000,64032
0.00087533274,0.9958697918410213,2050,65632
0.0007469693,0.9969028893721457,2100,67232
0.0008639011,0.996083936677618,2150,68832
0.0012977915,0.995334186968323,2200,70432
0.00097602705,0.9961195447084261,2250,72032
0.0010980396,0.9957582615512566,2300,73632
0.00090075977,0.9960290271143555,2350,75232
0.00073641597,0.9959583261697544,2400,76832
0.000813521,0.9961202749827175,2450,78432
0.0010300962,0.9951129858571696,2500,80032
0.0008142494,0.9960767307984364,2550,81632
0.0008271869,0.9972545728475576,2600,83232
0.0008566733,0.9957904042751538,2650,84832
0.00080934097,0.9958632276992497,2700,86432
0.0007779725,0.9963077606240942,2750,88032
0.000807165,0.9963581351956785,2800,89632
0.00083535875,0.9968567409835036,2850,91232
0.00086749974,0.9963982053443823,2900,92832
0.0009101545,0.9954288328257859,2950,94432
0.000967754,0.9964161270630635,3000,96032
0.0008010869,0.9959237704910289,3050,97632
0.00083237427,0.9956668823490211,3100,99232
0.0026715985,0.9955202499158509,3150,100832
0.0012966212,0.9951601401142578,3200,102432
0.0010755885,0.9967051038487448,3250,104032
0.00079700584,0.9958353599154852,3300,105632
0.00085887505,0.9956004720649378,3350,107232
0.0009728626,0.9965223860740142,3400,108832
0.0010068022,0.9965852309880464,3450,110432
0.0007366834,0.9961846170565467,3500,112032
0.0008625655,0.995946715557527,3550,113632
0.0006921566,0.995968351855283,3600,115232
0.0006960364,0.9962112209122692,3650,116832
0.0007722474,0.995779878262324,3700,118432
0.0007844554,0.9964938743681042,3750,120032
0.00081799895,0.9962534909003287,3800,121632
0.0012303068,0.996869227213188,3850,123232
0.0010104468,0.9970863236075909,3900,124832
0.0007819699,0.9969658401568875,3950,126432
0.000933958,0.9955310668576134,4000,128032
0.00076501333,0.9967395799609218,4050,129632
0.0007720837,0.9962736438856474,4100,131232
0.00089829124,0.9968214270670456,4150,132832
0.00081496383,0.9964815694908057,4200,134432
